#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
-19.0,1059,654.642757
-21.0,961,656.210341
-20.0,928,664.573336
-18.0,1259,664.673447
-17.0,1234,666.490335
-19.0,1252,668.308095
-20.0,1165,668.976067
-21.0,1176,669.364678
-19.0,1292,670.530667
-17.0,1304,672.561998
-20.0,1011,677.43202
-20.0,1022,679.372305
-20.0,1050,681.859858
-17.0,1449,682.691706
-19.0,1079,682.772872
-20.0,1088,684.024154
-18.0,1178,687.285696
-19.0,1480,687.397248
-21.0,913,690.82639
-19.0,1317,693.899801
-20.0,1231,697.094501
-20.0,870,698.309574
-19.0,1253,698.619177
-20.0,1257,699.918313
-17.0,1365,700.019399
-18.0,1159,701.967431
-21.0,967,703.171975
-18.0,1359,711.144041
-18.0,1127,711.358023
-20.0,1074,712.382507
-19.0,1156,714.45296
-18.0,1374,715.737121
-18.0,1255,715.906281
-20.0,1176,717.925009
-18.0,1268,717.997951
-18.0,1125,730.23824
-20.0,1260,730.491536
-17.0,1546,730.715161
-18.0,1526,730.741072
-20.0,1413,733.635721
-16.0,1794,735.114198
-19.0,1387,735.637572
-16.0,1484,736.912994
-18.0,1372,747.233123
-20.0,1371,748.097741
-18.0,1459,748.722573
-19.0,1434,748.722815
-20.0,1331,750.233064
-19.0,1343,751.837552
-20.0,1499,755.556071
-17.0,1774,758.123322
-20.0,1619,768.311115
-19.0,1804,770.112972
-19.0,1744,771.020664
-19.0,1663,771.367294
-19.0,1546,771.448952
-18.0,1886,772.775474
-20.0,1621,776.190936
-17.0,1785,780.680295
-19.0,1406,787.764314
-16.0,1701,790.074369
-18.0,1684,792.462407
-18.0,1797,793.606153
-18.0,1698,794.01929
-21.0,1837,794.411908
-17.0,1847,799.724185
-19.0,1635,801.417458
-20.0,1795,810.461046
-18.0,1897,813.701596
-19.0,1718,815.118016
-17.0,1714,816.272271
-17.0,1964,819.03242
-12.0,2221,820.731114
-18.0,1852,822.804528
-15.0,1867,824.646737
-19.0,1724,832.283023
-19.0,1620,835.550823
-15.0,1803,836.670419
-15.0,1862,839.390528
-15.0,2145,845.61764
-15.0,2036,845.887162
-17.0,2082,848.794346
-15.0,2173,851.886589
-18.0,1917,856.325101
-17.0,2047,861.255181
-11.0,2221,864.419653
