#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-18.0,1041,677.140423
-21.0,887,677.804738
-20.0,962,678.679489
-21.0,795,678.760407
-20.0,1019,678.846686
-19.0,1074,680.754035
-20.0,966,681.524891
-21.0,811,682.911931
-19.0,1159,683.205276
-21.0,881,687.662629
-21.0,826,687.781859
-20.0,1112,687.805075
-20.0,844,688.217421
-21.0,823,690.758283
-21.0,843,692.377
-21.0,783,693.960725
-21.0,945,695.434528
-20.0,920,695.613649
-20.0,1022,695.872534
-20.0,915,696.435988
-21.0,825,696.537993
-19.0,1019,698.367328
-20.0,924,699.184037
-21.0,943,701.220388
-20.0,960,701.26065
-21.0,825,703.542686
-21.0,825,703.981217
-21.0,783,707.48168
-19.0,1059,708.038336
-21.0,911,708.313977
-20.0,1084,708.654326
-21.0,843,711.674775
-21.0,882,712.845737
-20.0,990,713.024871
-21.0,783,713.445373
-20.0,913,714.100566
-21.0,1033,715.577102
-20.0,998,715.726013
-21.0,854,717.768167
-21.0,1009,718.671061
-20.0,978,720.175472
-21.0,853,720.498906
-19.0,1009,723.056538
-21.0,793,723.287774
-21.0,825,723.355409
-21.0,793,723.566388
-21.0,825,728.818791
-20.0,1142,730.672101
-21.0,993,730.868986
-21.0,825,731.588632
-20.0,963,731.640013
-21.0,1007,733.538742
-18.0,1083,734.334957
-21.0,871,734.517468
-19.0,1005,734.908626
-21.0,825,736.056679
-20.0,1026,738.404261
-19.0,938,738.55103
-21.0,830,739.271819
-21.0,859,739.891907
-21.0,887,740.640789
-21.0,919,740.757918
-21.0,783,743.797414
-21.0,825,746.64129
-19.0,940,749.598032
-20.0,1082,751.345855
-20.0,891,751.544685
-20.0,888,751.866515
-18.0,1106,752.726087
-20.0,1026,753.15691
-20.0,992,753.307131
-20.0,981,754.801474
-21.0,885,755.31612
-20.0,870,756.512195
-20.0,888,757.602184
-21.0,885,757.671302
-20.0,1005,758.485741
-20.0,1173,760.962971
-20.0,1019,763.27617
-21.0,975,765.276073
-21.0,827,765.410426
-21.0,793,766.740148
-20.0,842,768.01742
-20.0,870,769.830637
-21.0,821,771.050914
-20.0,963,771.186035
-20.0,1050,771.479132
-21.0,821,773.32802
-20.0,978,773.552925
-20.0,1107,774.533414
-21.0,945,774.634621
-20.0,898,774.881549
-20.0,862,777.514018
-21.0,843,781.590101
-16.0,1220,781.852841
-21.0,1003,782.50357
-21.0,825,782.555809
-20.0,936,783.241101
-21.0,915,785.529466
-21.0,827,787.011799
-20.0,923,787.499636
-21.0,871,788.153361
-21.0,924,788.746388
-21.0,793,790.049146
-21.0,853,790.848885
-21.0,1095,794.602727
-18.0,1091,795.592119
-18.0,1198,796.359875
-19.0,998,796.685927
-21.0,849,798.851586
-21.0,943,799.998087
-20.0,968,800.21026
-21.0,915,800.849595
-19.0,1054,802.804492
-21.0,795,804.039643
-20.0,889,804.125681
-20.0,1019,805.128429
-20.0,987,806.483524
-21.0,873,807.650247
-21.0,1035,808.054205
-20.0,962,808.548452
-21.0,825,814.589895
-21.0,963,815.077844
-20.0,1037,815.400955
-20.0,1112,815.850196
-21.0,855,816.331864
-20.0,1091,817.22596
-21.0,887,817.80114
-20.0,948,818.343
-21.0,825,819.820902
-19.0,1013,822.16099
-21.0,844,822.610892
-21.0,793,823.201165
-20.0,948,823.241354
-19.0,1100,825.145278
-21.0,945,826.594514
-19.0,1179,830.164465
-21.0,855,830.945814
-21.0,826,831.631278
-21.0,853,831.715685
-21.0,827,832.135116
-20.0,962,833.476604
-20.0,902,835.029581
