#{"t_start": 1674922134.0819445, "env_id": null}
r,l,t
-19.0,1029,595.813739
-20.0,842,596.749097
-20.0,894,596.925905
-21.0,855,597.636133
-20.0,843,598.306477
-19.0,995,599.910277
-20.0,1141,600.317932
-20.0,903,600.754766
-21.0,826,601.678471
-20.0,963,603.194002
-20.0,933,606.347193
-20.0,843,607.721459
-21.0,886,609.285753
-21.0,812,609.358045
-20.0,964,610.106292
-20.0,843,610.166199
-21.0,825,610.940109
-20.0,838,610.999265
-20.0,838,612.554486
-19.0,1055,613.46958
-21.0,783,613.640444
-21.0,873,614.932169
-20.0,1056,615.915758
-21.0,827,616.107877
-19.0,1005,618.393862
-20.0,979,620.636451
-20.0,916,622.929301
-21.0,872,623.579516
-21.0,889,625.638013
-21.0,889,626.505336
-21.0,844,626.505541
-21.0,963,626.972308
-20.0,931,628.176653
-21.0,853,628.427915
-19.0,1027,629.026135
-21.0,887,630.228636
-20.0,960,632.797652
-18.0,1075,633.514987
-21.0,967,633.831783
-20.0,922,635.444353
-21.0,822,635.779388
-18.0,1221,638.669225
-20.0,872,638.98143
-20.0,921,640.47464
-21.0,825,641.585505
-20.0,838,641.810284
-21.0,854,642.497207
-21.0,801,642.722574
-20.0,965,643.211398
-21.0,845,645.363006
-20.0,949,645.471556
-20.0,960,646.211956
-21.0,825,648.05429
-21.0,872,648.198509
-19.0,934,650.1963
-20.0,838,650.378289
-20.0,1047,653.608689
-21.0,783,653.834264
-21.0,913,654.601514
-21.0,932,654.644654
-21.0,802,656.374987
-21.0,871,656.43258
-21.0,765,658.385976
-20.0,949,658.65905
-20.0,1024,659.252591
-20.0,1010,660.399558
-20.0,870,661.028598
-18.0,1008,662.649781
-21.0,881,663.076561
-20.0,842,664.569662
-21.0,843,664.769384
-20.0,1011,665.456473
-19.0,940,669.673168
-21.0,886,669.750569
-19.0,1035,671.546845
-21.0,885,671.585887
-20.0,1010,671.934327
-20.0,962,672.942399
-21.0,875,673.809628
-20.0,903,674.041305
-21.0,783,674.62414
-21.0,823,674.695306
-21.0,912,675.066029
-21.0,854,677.843352
-21.0,795,679.179609
-21.0,878,679.723752
-18.0,1029,680.396421
-21.0,909,685.379421
-20.0,1227,685.88803
-20.0,966,686.416771
-21.0,885,686.818926
-20.0,919,687.426142
-20.0,940,688.1226
-21.0,858,688.65504
-21.0,961,689.408597
-20.0,923,690.345156
-20.0,945,691.166079
-18.0,1044,691.616014
-19.0,1004,691.791694
-21.0,765,692.259887
-21.0,941,693.897758
-19.0,961,696.115834
-20.0,932,696.288736
-21.0,793,699.869955
-21.0,811,700.587604
-20.0,898,700.640217
-20.0,993,702.754772
-21.0,914,702.938844
-20.0,905,703.483596
-21.0,840,703.664054
-21.0,962,704.987418
-20.0,933,706.173812
-21.0,872,706.409853
-20.0,998,708.08726
-20.0,999,708.741534
-21.0,900,709.173142
-21.0,1016,709.502156
-21.0,793,709.592697
-21.0,937,712.204267
-20.0,866,715.304797
-21.0,887,715.718763
-21.0,1021,717.244545
-20.0,842,717.971363
-20.0,919,718.570243
-21.0,843,719.323026
-19.0,1016,720.044754
-21.0,825,720.222287
-19.0,1018,720.825187
-20.0,902,721.770555
-21.0,811,723.29488
-21.0,899,723.408198
-21.0,823,723.600741
-20.0,921,724.427044
-21.0,991,726.039762
-21.0,971,728.716294
-21.0,874,730.170957
-21.0,1020,733.042984
-20.0,931,733.064581
-20.0,878,733.499369
-20.0,891,735.933453
-20.0,951,736.187467
-20.0,842,737.579337
-20.0,1026,737.638272
-19.0,1087,737.789732
-17.0,1171,737.883287
-21.0,917,738.975435
-20.0,1019,739.083744
-21.0,783,739.335109
-19.0,977,741.009197
-19.0,1053,741.471911
-21.0,1020,746.01496
-19.0,1010,747.306383
-21.0,913,748.552783
-19.0,970,749.938787
-21.0,871,750.9461
-21.0,793,751.023805
-21.0,795,751.349427
-21.0,813,751.569539
-18.0,1101,751.725556
-21.0,765,751.931321
-21.0,1042,753.599554
-20.0,990,754.421374
-20.0,980,755.671282
-20.0,887,756.485599
-21.0,1025,756.698921
-20.0,990,757.782194
-21.0,855,760.495065
-21.0,901,762.566256
-20.0,951,764.664587
-21.0,1005,766.967119
-21.0,913,767.202654
-20.0,990,767.814171
-21.0,1005,768.379525
-20.0,976,768.470625
-20.0,1037,768.547001
-21.0,887,768.6589
-20.0,1038,769.189277
-21.0,793,769.962492
-20.0,889,770.792943
-21.0,802,771.422288
-19.0,1066,772.552294
-19.0,1036,774.335191
-21.0,853,775.043791
-20.0,930,778.400796
-21.0,857,779.267198
-21.0,795,780.525669
-21.0,827,781.305849
-21.0,783,781.754525
-21.0,765,782.229207
-20.0,842,782.912112
-21.0,916,783.439088
-21.0,885,783.58039
-21.0,827,784.060761
-20.0,963,785.085896
-21.0,855,785.991143
-21.0,825,786.61256
-20.0,930,786.650393
-21.0,993,791.903821
-20.0,1043,792.046455
-21.0,783,793.845627
-21.0,898,794.546189
-21.0,871,796.114792
-20.0,843,796.56618
-20.0,903,797.109339
-21.0,854,797.43668
-20.0,1123,797.533773
-21.0,855,797.993557
-21.0,855,798.136898
-21.0,887,800.164678
-21.0,825,800.725526
-19.0,1057,802.134584
-21.0,937,802.631372
-21.0,1035,803.694245
-21.0,881,807.032063
-21.0,793,808.180684
-21.0,913,809.554397
-19.0,1106,811.054123
-20.0,921,812.412009
-21.0,872,812.990007
-20.0,930,813.450881
-20.0,932,813.582577
-21.0,795,814.378844
-20.0,1069,815.515553
-19.0,1155,815.996246
-20.0,1072,816.574255
-20.0,979,817.044335
-21.0,855,818.365213
-19.0,1107,821.139936
-21.0,887,822.280619
-19.0,1192,823.08255
-21.0,882,823.346583
-20.0,1000,826.704814
-21.0,840,826.829413
-21.0,879,828.648108
-20.0,1051,829.078901
-21.0,913,829.115618
-19.0,1009,830.332582
-21.0,885,830.716993
-21.0,853,831.689925
-21.0,885,831.790443
-20.0,1013,831.79069
-21.0,825,832.542377
-21.0,1024,833.588585
-19.0,995,838.301523
-21.0,881,838.565735
-20.0,932,839.182772
-20.0,1071,840.840429
-21.0,840,841.460083
-21.0,844,845.049203
-19.0,1058,845.127086
-21.0,854,845.611099
-19.0,984,845.800251
-19.0,968,845.993716
-21.0,825,846.106603
-19.0,994,846.415126
-21.0,885,847.230631
-21.0,915,847.756862
-21.0,825,848.023878
-21.0,943,849.007432
-21.0,821,852.577258
-20.0,872,854.307386
-21.0,885,856.083086
-20.0,1028,856.344921
-21.0,889,856.756949
-21.0,811,859.972683
-21.0,813,860.31614
-20.0,900,860.482243
-21.0,897,861.356751
-20.0,926,861.482369
-21.0,916,861.507269
-20.0,843,862.24808
-21.0,877,862.331667
-21.0,811,863.013797
-19.0,1120,864.637531
-20.0,997,865.374665
-21.0,871,867.765502
-21.0,871,869.505901
-21.0,855,871.737976
-20.0,900,871.842777
-20.0,902,872.136178
-21.0,825,874.789706
-21.0,887,875.993557
-21.0,942,876.440048
-21.0,914,877.439952
-20.0,1003,878.844083
-19.0,961,878.935256
-21.0,825,879.499364
-19.0,1004,879.734595
-21.0,991,880.133764
-18.0,1156,881.58891
-21.0,825,881.88976
-20.0,1009,881.912797
-21.0,941,885.601309
-20.0,866,886.507067
-20.0,902,887.221188
-21.0,934,888.067284
-21.0,825,890.523111
-19.0,949,892.208523
-21.0,793,892.486114
-20.0,902,892.86219
-21.0,793,893.053186
-18.0,1095,893.499657
-20.0,870,894.622071
-21.0,783,895.002634
-20.0,1009,896.103522
-20.0,980,896.897232
-20.0,898,897.274291
-20.0,992,898.864319
-21.0,793,899.188111
-21.0,822,900.584622
-21.0,793,901.708826
-20.0,933,903.270293
-21.0,883,905.698885
-21.0,825,906.38998
-21.0,783,908.05328
-21.0,853,909.639936
-21.0,943,909.699166
-21.0,1028,910.528857
-20.0,1041,910.947507
-18.0,1124,911.805003
-21.0,920,912.703442
-20.0,902,912.776868
-20.0,1046,914.099015
-21.0,917,914.648212
-20.0,913,914.908134
-20.0,958,918.128201
-21.0,1097,919.474232
-21.0,947,919.540965
-21.0,793,920.038345
-21.0,1053,923.847226
-21.0,873,924.710613
-21.0,889,925.856314
-21.0,1007,927.051877
-19.0,945,927.226487
-19.0,1124,927.437547
-20.0,910,928.396615
-20.0,934,928.88415
-19.0,1008,929.186515
-21.0,903,929.66878
-20.0,963,931.25698
-18.0,1019,932.47051
-21.0,903,933.723672
-20.0,871,934.554315
-21.0,881,935.213171
-20.0,1015,936.97951
-21.0,947,940.204035
-21.0,943,942.146466
-21.0,905,942.689774
-20.0,842,942.952045
-20.0,993,944.577576
-20.0,1014,944.738163
-18.0,1197,945.359438
-21.0,793,946.168142
-21.0,1007,946.272277
-21.0,973,946.467726
-21.0,1029,946.947957
-21.0,812,947.768767
-21.0,793,948.259048
-19.0,999,948.502847
-21.0,825,951.41094
-20.0,1110,954.648951
-21.0,887,955.723199
-20.0,860,958.184847
-20.0,916,958.963571
-21.0,855,959.801844
-21.0,825,960.065807
-19.0,1003,962.528908
-21.0,915,962.551863
-20.0,1057,965.160454
-21.0,947,965.306303
-18.0,1090,965.451827
-21.0,1054,965.611233
-17.0,1336,965.672611
-18.0,1029,966.008577
-19.0,1043,966.761269
-20.0,992,968.831625
-21.0,971,971.624696
-21.0,885,973.50466
-21.0,845,974.621638
-18.0,1088,974.721879
-21.0,941,975.17878
-21.0,862,977.401893
-21.0,765,978.486428
-21.0,783,979.263526
-20.0,962,979.28685
-21.0,853,980.87077
-21.0,887,980.934994
-18.0,1214,980.93523
-21.0,933,981.587685
-20.0,981,982.751697
-20.0,920,982.779464
-21.0,843,983.566341
-20.0,866,986.714394
-21.0,855,989.774827
-19.0,1004,991.155442
-19.0,939,991.155702
-21.0,793,991.387921
-21.0,825,993.642803
-21.0,899,994.180318
-19.0,1098,994.447574
-20.0,931,995.499389
-20.0,866,995.947508
-21.0,887,996.377582
-21.0,883,996.983615
-21.0,783,997.235859
-21.0,855,997.682278
-21.0,885,998.241269
-20.0,1006,998.487309
-20.0,866,1001.92
-21.0,793,1004.908492
-21.0,965,1006.594006
-21.0,854,1009.323285
-21.0,883,1009.577048
-19.0,1060,1009.598304
-20.0,926,1009.794737
-20.0,861,1011.39699
-21.0,844,1011.700826
-20.0,1167,1011.701087
-20.0,906,1011.77459
-20.0,982,1012.637218
-19.0,962,1013.978319
-21.0,943,1014.641083
-21.0,853,1016.717251
-20.0,1070,1017.0689
-19.0,1207,1018.653893
-20.0,870,1020.080492
-20.0,921,1022.577257
-21.0,913,1025.147087
-21.0,911,1025.376352
-21.0,854,1026.545012
-21.0,877,1026.584839
-19.0,973,1026.662136
-20.0,917,1027.579233
-20.0,964,1028.38019
-20.0,1107,1028.762941
-21.0,935,1030.150479
-20.0,1018,1030.243209
-21.0,793,1030.462801
-20.0,919,1030.551811
-21.0,783,1030.648892
-21.0,783,1033.607237
-20.0,921,1034.596071
-21.0,793,1036.2468
-20.0,900,1040.64328
-21.0,913,1041.104084
-20.0,898,1042.995287
-21.0,854,1043.428204
-21.0,1004,1043.911309
-21.0,793,1044.069769
-20.0,1043,1044.490118
-20.0,1043,1044.532579
-21.0,825,1044.728907
-21.0,855,1044.953933
-20.0,983,1045.304533
-21.0,887,1045.892214
-19.0,1082,1048.783289
-20.0,885,1048.827341
-21.0,825,1050.457072
-19.0,1042,1052.519641
-21.0,793,1054.763042
-20.0,921,1056.512561
-21.0,883,1058.20935
-21.0,871,1058.922714
-21.0,843,1059.055008
-21.0,862,1059.800699
-20.0,915,1060.500954
-21.0,964,1060.712029
-21.0,873,1060.949071
-20.0,1030,1063.040545
-18.0,1087,1063.230361
-21.0,843,1063.345676
-19.0,1156,1063.385746
-21.0,871,1063.816245
-19.0,948,1066.803482
-21.0,991,1069.651154
-21.0,901,1070.375643
-21.0,825,1073.254892
-20.0,1019,1074.188469
-21.0,839,1074.368315
-19.0,949,1074.708473
-20.0,904,1074.769087
-21.0,871,1075.835118
-20.0,903,1076.188658
-21.0,825,1077.583408
-20.0,1014,1078.540036
-21.0,885,1079.181648
-19.0,997,1080.385256
-21.0,1001,1080.753811
-20.0,1044,1081.547392
-21.0,853,1084.489768
-19.0,1041,1084.914392
-21.0,844,1085.064216
-21.0,793,1088.488819
-20.0,932,1089.482241
-20.0,903,1090.092182
-21.0,841,1090.483218
-20.0,962,1090.960032
-21.0,905,1091.950057
-21.0,887,1093.052975
-20.0,1058,1093.20329
-20.0,898,1094.204872
-20.0,887,1094.657438
